PERMNO,date,RET
93436,20100629,C
93436,20100630,-0.002511
93436,20100701,-0.078473
93436,20100702,-0.125683
93436,20100706,-0.160938
93436,20100707,-0.019243
93436,20100708,0.105063
93436,20100709,-0.003436
93436,20100712,-0.020115
93436,20100713,0.063930
93436,20100714,0.093716
93436,20100715,0.002520
93436,20100716,0.037707
93436,20100719,0.061531
93436,20100720,-0.073482
93436,20100721,-0.003941
93436,20100722,0.038576
93436,20100723,0.013810
93436,20100726,-0.015970
93436,20100727,-0.019093
93436,20100728,0.008273
93436,20100729,-0.017857
93436,20100730,-0.020147
93436,20100802,0.049147
93436,20100803,0.049235
93436,20100804,-0.031435
93436,20100805,-0.038100
93436,20100806,-0.042054
93436,20100809,0.000510
93436,20100810,-0.029082
93436,20100811,-0.059380
93436,20100812,-0.016760
93436,20100813,0.040909
93436,20100816,0.025109
93436,20100817,0.019702
93436,20100818,-0.019843
93436,20100819,0.001066
93436,20100820,0.016498
93436,20100823,0.053927
93436,20100824,-0.046200
93436,20100825,0.036458
93436,20100826,-0.007538
93436,20100827,-0.002532
93436,20100830,0.008629
93436,20100831,-0.019628
93436,20100901,0.049795
93436,20100902,0.029829
93436,20100903,-0.000475
93436,20100907,-0.024228
93436,20100908,0.017527
93436,20100909,-0.009091
93436,20100910,-0.026074
93436,20100913,0.027268
93436,20100914,0.019305
93436,20100915,0.040720
93436,20100916,-0.047316
93436,20100917,-0.033906
93436,20100920,0.040781
93436,20100921,-0.013536
93436,20100922,-0.043332
93436,20100923,-0.015601
93436,20100924,0.027607
93436,20100927,0.021393
93436,20100928,0.042377
93436,20100929,0.027103
93436,20100930,-0.071656
93436,20101001,0.009556
93436,20101004,0.018932
93436,20101005,0.006193
93436,20101006,-0.031250
93436,20101007,-0.001466
93436,20101008,0.000000
93436,20101011,-0.009300
93436,20101012,0.000000
93436,20101013,0.014822
93436,20101014,0.010224
93436,20101015,-0.010120
93436,20101018,-0.015093
93436,20101019,-0.008898
93436,20101020,0.029925
93436,20101021,0.004843
93436,20101022,-0.001446
93436,20101025,0.006274
93436,20101026,0.024460
93436,20101027,-0.016854
93436,20101028,0.009048
93436,20101029,0.030675
93436,20101101,-0.019689
93436,20101102,-0.007473
93436,20101103,0.024471
93436,20101104,0.143776
93436,20101105,-0.018474
93436,20101108,0.022095
93436,20101109,-0.014011
93436,20101110,0.192042
93436,20101111,-0.045129
93436,20101112,0.064384
93436,20101115,0.032172
93436,20101116,-0.036688
93436,20101117,-0.006067
93436,20101118,0.013564
93436,20101119,0.036802
93436,20101122,0.077767
93436,20101123,0.035030
93436,20101124,0.026034
93436,20101126,-0.004229
93436,20101129,-0.028029
93436,20101130,0.029129
93436,20101201,-0.027739
93436,20101202,-0.058224
93436,20101203,-0.026584
93436,20101206,-0.037472
93436,20101207,0.041241
93436,20101208,0.025665
93436,20101209,-0.009886
93436,20101210,-0.016537
93436,20101213,-0.030774
93436,20101214,-0.066121
93436,20101215,0.037504
93436,20101216,0.040878
93436,20101217,0.017851
93436,20101220,0.010842
93436,20101221,0.017666
93436,20101222,0.011469
93436,20101223,-0.077843
93436,20101227,-0.150914
93436,20101228,0.033700
93436,20101229,0.049981
93436,20101230,-0.044356
93436,20101231,0.004906
93436,20110103,-0.000375
93436,20110104,0.001878
93436,20110105,0.005999
93436,20110106,0.039135
93436,20110107,0.012913
93436,20110110,0.007436
93436,20110111,-0.052373
93436,20110112,0.000000
93436,20110113,-0.027448
93436,20110114,-0.017925
93436,20110118,-0.004272
93436,20110119,-0.062792
93436,20110120,-0.058677
93436,20110121,0.018568
93436,20110124,0.062934
93436,20110125,0.007758
93436,20110126,0.002836
93436,20110127,0.006869
93436,20110128,-0.036517
93436,20110131,0.003748
93436,20110201,-0.007884
93436,20110202,0.001255
93436,20110203,-0.012949
93436,20110204,-0.007194
93436,20110207,-0.016624
93436,20110208,0.061552
93436,20110209,-0.052266
93436,20110210,0.000215
93436,20110211,0.001508
93436,20110214,-0.007312
93436,20110215,-0.010399
93436,20110216,0.082750
93436,20110217,-0.045693
93436,20110218,-0.017797
93436,20110222,-0.056514
93436,20110223,-0.001829
93436,20110224,0.032066
93436,20110225,0.047936
93436,20110228,0.011859
93436,20110301,0.002093
93436,20110302,0.003342
93436,20110303,0.014155
93436,20110304,0.024220
93436,20110307,-0.000401
93436,20110308,-0.011227
93436,20110309,0.002433
93436,20110310,-0.028722
93436,20110311,0.002499
93436,20110314,-0.034067
93436,20110315,-0.012903
93436,20110316,-0.005665
93436,20110317,-0.000438
93436,20110318,0.006576
93436,20110321,-0.010017
93436,20110322,-0.023757
93436,20110323,0.000901
93436,20110324,0.005403
93436,20110325,0.018809
93436,20110328,0.021978
93436,20110329,0.028817
93436,20110330,-0.008779
93436,20110331,0.170392
93436,20110401,-0.039279
93436,20110404,-0.031133
93436,20110405,0.033682
93436,20110406,-0.007865
93436,20110407,0.028313
93436,20110408,-0.027533
93436,20110411,-0.046055
93436,20110412,-0.024535
93436,20110413,0.011359
93436,20110414,0.008424
93436,20110415,0.017502
93436,20110418,-0.021501
93436,20110419,0.005194
93436,20110420,0.023450
93436,20110421,0.038447
93436,20110425,-0.013089
93436,20110426,0.020462
93436,20110427,0.005570
93436,20110428,0.021418
93436,20110429,-0.002169
93436,20110502,-0.005435
93436,20110503,-0.021129
93436,20110504,-0.006699
93436,20110505,-0.009367
93436,20110506,0.025719
93436,20110509,0.029130
93436,20110510,0.015048
93436,20110511,-0.044476
93436,20110512,0.022165
93436,20110513,-0.004337
93436,20110516,-0.034483
93436,20110517,-0.024060
93436,20110518,0.015023
93436,20110519,0.070209
93436,20110520,-0.008156
93436,20110523,-0.041115
93436,20110524,-0.003729
93436,20110525,0.084581
93436,20110526,0.017253
93436,20110527,0.002374
93436,20110531,0.019966
93436,20110601,-0.053849
93436,20110602,0.008521
93436,20110603,0.047636
93436,20110606,-0.047461
93436,20110607,-0.011498
93436,20110608,-0.044061
93436,20110609,0.018437
93436,20110610,0.008689
93436,20110613,0.020459
93436,20110614,0.005980
93436,20110615,-0.044755
93436,20110616,-0.030015
93436,20110617,0.000000
93436,20110620,-0.018491
93436,20110621,0.058439
93436,20110622,-0.011624
93436,20110623,0.018376
93436,20110624,-0.005233
93436,20110627,-0.003809
93436,20110628,0.023671
93436,20110629,0.006403
93436,20110630,0.029692
93436,20110701,-0.003776
93436,20110705,0.004135
93436,20110706,-0.006177
93436,20110707,0.026588
93436,20110708,-0.030945
93436,20110711,-0.015967
93436,20110712,-0.006349
93436,20110713,0.016684
93436,20110714,-0.035964
93436,20110715,-0.001087
93436,20110718,-0.012690
93436,20110719,0.024238
93436,20110720,0.028684
93436,20110721,0.000349
93436,20110722,0.020557
93436,20110725,-0.027313
93436,20110726,-0.017199
93436,20110727,-0.012857
93436,20110728,0.019175
93436,20110729,0.000000
93436,20110801,0.021299
93436,20110802,-0.049705
93436,20110803,-0.005121
93436,20110804,-0.090074
93436,20110805,-0.020606
93436,20110808,-0.024752
93436,20110809,0.060068
93436,20110810,-0.049481
93436,20110811,0.062133
93436,20110812,0.039921
93436,20110815,-0.003041
93436,20110816,-0.004956
93436,20110817,-0.010345
93436,20110818,-0.060782
93436,20110819,-0.080791
93436,20110822,-0.015695
93436,20110823,0.046014
93436,20110824,0.039634
93436,20110825,-0.031839
93436,20110826,0.026828
93436,20110829,0.041298
93436,20110830,-0.003238
93436,20110831,0.004466
93436,20110901,-0.029911
93436,20110902,-0.038750
93436,20110906,-0.005635
93436,20110907,0.039233
93436,20110908,-0.009648
93436,20110909,-0.027107
93436,20110912,-0.003918
93436,20110913,0.052448
93436,20110914,0.010797
93436,20110915,0.019721
93436,20110916,0.039484
93436,20110919,-0.001163
93436,20110920,0.009313
93436,20110921,-0.006151
93436,20110922,-0.008511
93436,20110923,0.029263
93436,20110926,-0.032600
93436,20110927,0.026254
93436,20110928,-0.061092
93436,20110929,-0.019113
93436,20110930,0.011194
93436,20111003,-0.027060
93436,20111004,-0.002950
93436,20111005,0.072274
93436,20111006,0.062672
93436,20111007,0.001113
93436,20111010,0.032975
93436,20111011,-0.009684
93436,20111012,0.006882
93436,20111013,0.005036
93436,20111014,0.003937
93436,20111017,-0.022460
93436,20111018,0.033552
93436,20111019,-0.027170
93436,20111020,-0.008342
93436,20111021,0.025238
93436,20111024,0.018552
93436,20111025,-0.010508
93436,20111026,-0.009558
93436,20111027,0.027877
93436,20111028,0.038595
93436,20111031,-0.016739
93436,20111101,-0.016684
93436,20111102,-0.005886
93436,20111103,0.130617
93436,20111104,-0.004621
93436,20111107,-0.032188
93436,20111108,0.018228
93436,20111109,-0.030151
93436,20111110,0.014573
93436,20111111,0.073731
93436,20111114,-0.012485
93436,20111115,0.021373
93436,20111116,0.029767
93436,20111117,-0.036062
93436,20111118,-0.032067
93436,20111121,-0.025767
93436,20111122,0.009761
93436,20111123,-0.019333
93436,20111125,0.006677
93436,20111128,0.028427
93436,20111129,-0.024877
93436,20111130,0.031181
93436,20111201,-0.004276
93436,20111202,0.021472
93436,20111205,0.033634
93436,20111206,0.013074
93436,20111207,-0.019501
93436,20111208,-0.096519
93436,20111209,0.004856
93436,20111212,-0.020296
93436,20111213,-0.031569
93436,20111214,-0.031239
93436,20111215,0.003155
93436,20111216,-0.021663
93436,20111219,-0.008929
93436,20111220,0.005405
93436,20111221,-0.011828
93436,20111222,0.007254
93436,20111223,0.004681
93436,20111227,0.024014
93436,20111228,-0.002100
93436,20111229,0.007717
93436,20111230,-0.005917
93436,20120103,-0.016807
93436,20120104,-0.013177
93436,20120105,-0.021292
93436,20120106,-0.007743
93436,20120109,0.012635
93436,20120110,0.013578
93436,20120111,0.022085
93436,20120112,0.000708
93436,20120113,-0.193274
93436,20120117,0.167179
93436,20120118,0.007895
93436,20120119,-0.001865
93436,20120120,-0.005979
93436,20120123,0.006391
93436,20120124,0.024281
93436,20120125,0.020058
93436,20120126,0.034680
93436,20120127,0.013476
93436,20120130,0.008183
93436,20120131,-0.016909
93436,20120201,0.017544
93436,20120202,0.022650
93436,20120203,0.029752
93436,20120206,0.020867
93436,20120207,-0.006289
93436,20120208,0.010443
93436,20120209,0.020357
93436,20120210,-0.045427
93436,20120213,0.012540
93436,20120214,0.053350
93436,20120215,0.012964
93436,20120216,0.017262
